

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",2,"Harvested irrigated temporary crop area: Wheat",4345,1980,1300.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Wheat",4345,1990,1030.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Wheat",4345,2012,1156.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Wheat",4345,2016,1301.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Rice",4346,2011,208.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Barley",4347,2011,116.0,"I","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Maize",4348,2011,183.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Vegetables",4360,2011,69.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Sesame",4374,2006,10.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Sunflower",4373,2006,10.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Potatoes",4352,2006,15.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Leguminous crops",4359,2006,27.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Sugar beet",4358,2006,2.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Sugarcane",4357,2006,2.0,"","",""
"Afghanistan",2,"Harvested irrigated temporary crop area: Cotton",4367,2011,33.0,"","",""
"Afghanistan",2,"Harvested irrigated permanent crop area: Other crops",4378,2011,198.0,"","",""
"Albania",3,"Harvested irrigated temporary crop area: Wheat",4345,2006,3.1,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Maize",4348,2006,28.5,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Other cereals",4351,2006,4.2,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Vegetables",4360,2006,19.5,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Potatoes",4352,2006,2.9,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Leguminous crops",4359,2006,13.1,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Fodder",4369,2006,14.0,"I","",""
"Albania",3,"Harvested irrigated temporary crop area: Other crops",4377,2006,9.0,"I","[1]",""
"Albania",3,"Harvested irrigated permanent crop area: Other crops",4378,2006,8.3,"I","",""
"Algeria",4,"Harvested irrigated temporary crop area: Wheat",4345,2001,89.3,"I","",""
"Algeria",4,"Harvested irrigated temporary crop area: Other cereals",4351,1986,8.0,"","",""
"Algeria",4,"Harvested irrigated temporary crop area: Other cereals",4351,2008,82.54,"","",""
"Algeria",4,"Harvested irrigated temporary crop area: Vegetables",4360,1986,95.0,"","",""
"Algeria",4,"Harvested irrigated temporary crop area: Vegetables",4360,2001,99.0,"I","",""
"Algeria",4,"Harvested irrigated temporary crop area: Vegetables",4360,2008,273.2,"","",""
"Algeria",4,"Harvested irrigated temporary crop area: Potatoes",4352,2001,79.0,"I","",""
"Algeria",4,"Harvested irrigated temporary crop area: Tobacco",4366,2001,5.0,"I","",""
"Algeria",4,"Harvested irrigated temporary crop area: Other crops",4377,2001,15.0,"I","[2]",""
"Algeria",4,"Harvested irrigated temporary crop area: Other crops",4377,2008,24.76,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Citrus",4362,2001,46.0,"I","",""
"Algeria",4,"Harvested irrigated permanent crop area: Citrus",4362,2008,41.88,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Grapes",4523,2008,9.037,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Other fruits",4524,2001,111.0,"I","[3]",""
"Algeria",4,"Harvested irrigated permanent crop area: Other fruits",4524,2008,160.4,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Olives",4525,2008,48.32,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Oil palm",4370,2008,140.2,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Grass and Fodder",4522,1986,25.0,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Grass and Fodder",4522,2001,9.0,"I","",""
"Algeria",4,"Harvested irrigated permanent crop area: Grass and Fodder",4522,2008,77.8,"","",""
"Algeria",4,"Harvested irrigated permanent crop area: Other crops",4378,1986,145.0,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Maize",4348,2005,4.799,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Vegetables",4360,2005,2.695,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Groundnuts",4372,2005,0.004,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Potatoes",4352,2005,0.203,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Sweet potatoes",4353,2005,0.786,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Cassava",4354,2005,0.322,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Leguminous crops",4359,2005,1.14,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Sugarcane",4357,1972,12.5,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Tobacco",4366,1972,9.1,"","",""
"Angola",7,"Harvested irrigated temporary crop area: Other crops",4377,2005,1.573,"","",""
"Angola",7,"Harvested irrigated permanent crop area: Bananas",4361,1972,7.7,"","",""
"Angola",7,"Harvested irrigated permanent crop area: Citrus",4362,1972,3.5,"","",""
"Angola",7,"Harvested irrigated permanent crop area: Other crops",4378,1975,11.2,"","",""
"Antigua and Barbuda",8,"Harvested irrigated temporary crop area: Vegetables",4360,1997,0.12,"","",""
"Antigua and Barbuda",8,"Harvested irrigated temporary crop area: Vegetables",4360,2014,0.2833,"I","",""
"Antigua and Barbuda",8,"Harvested irrigated temporary crop area: Other crops",4377,1997,0.01,"","",""
"Antigua and Barbuda",8,"Harvested irrigated permanent crop area: Other fruits",4524,2014,0.1012,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Wheat",4345,2008,60.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Rice",4346,1997,96.81,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Rice",4346,2008,164.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Maize",4348,1997,171.2,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Maize",4348,2008,198.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Sorghum",4350,2008,108.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Vegetables",4360,1997,261.8,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Vegetables",4360,2008,312.0,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Potatoes",4352,2008,29.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Other roots and tubers",4355,1997,162.9,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Leguminous crops",4359,2008,208.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Sugarcane",4357,1997,240.0,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Sugarcane",4357,2008,246.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Fodder",4369,2008,380.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Cotton",4367,2008,17.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Flowers",4376,1997,2.952,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Tobacco",4366,2008,10.0,"I","",""
"Argentina",9,"Harvested irrigated temporary crop area: Other crops",4377,1997,121.5,"","",""
"Argentina",9,"Harvested irrigated temporary crop area: Other crops",4377,2008,9.0,"I","[4]",""
"Argentina",9,"Harvested irrigated permanent crop area: Citrus",4362,2008,22.0,"I","",""
"Argentina",9,"Harvested irrigated permanent crop area: Other fruits",4524,2008,537.0,"I","",""
"Argentina",9,"Harvested irrigated permanent crop area: Other crops",4378,1997,493.1,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Wheat",4345,1995,31.0,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Wheat",4345,2006,35.0,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Barley",4347,1995,28.0,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Barley",4347,2006,5.9,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Maize",4348,1995,0.9,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Maize",4348,2006,3.1,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Other cereals",4351,2006,0.3,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Vegetables",4360,1995,21.0,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Vegetables",4360,2006,23.2,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Sunflower",4373,2006,0.2,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Potatoes",4352,2006,24.0,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Other roots and tubers",4355,1995,32.6,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Leguminous crops",4359,2006,2.0,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Sugar beet",4358,2006,0.2,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Fodder",4369,2006,26.0,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Tobacco",4366,2006,0.2,"I","",""
"Armenia",1,"Harvested irrigated temporary crop area: Other crops",4377,1995,4.078,"","",""
"Armenia",1,"Harvested irrigated temporary crop area: Other crops",4377,2006,5.0,"I","",""
"Armenia",1,"Harvested irrigated permanent crop area: Other crops",4378,1995,55.0,"","",""
"Armenia",1,"Harvested irrigated permanent crop area: Other crops",4378,2006,50.9,"I","",""
"Australia",10,"Harvested irrigated temporary crop area: Rice",4346,2010,18.93,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Rice",4346,2013,113.6,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Other cereals",4351,2010,217.6,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Other cereals",4351,2013,300.7,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Vegetables",4360,2010,104.3,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Vegetables",4360,2013,102.9,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Soybeans",4371,2010,29.05,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Sugarcane",4357,2010,212.6,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Sugarcane",4357,2013,170.2,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Fodder",4369,2010,192.2,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Fodder",4369,2013,188.4,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Cotton",4367,2010,153.2,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Cotton",4367,2013,365.3,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Flowers",4376,2010,13.0,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Flowers",4376,2013,11.04,"","",""
"Australia",10,"Harvested irrigated temporary crop area: Other crops",4377,2010,60.67,"","[5]",""
"Australia",10,"Harvested irrigated temporary crop area: Other crops",4377,2013,87.9,"","",""
"Australia",10,"Harvested irrigated permanent crop area: Grapes",4523,2010,162.6,"","",""
"Australia",10,"Harvested irrigated permanent crop area: Grapes",4523,2013,137.5,"","",""
"Australia",10,"Harvested irrigated permanent crop area: Other fruits",4524,2010,134.2,"","",""
"Australia",10,"Harvested irrigated permanent crop area: Other fruits",4524,2013,135.3,"","",""
"Australia",10,"Harvested irrigated permanent crop area: Other crops",4378,2013,50.64,"","",""
"Austria",11,"Harvested irrigated temporary crop area: Wheat",4345,1995,1.82,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Wheat",4345,2003,2.65,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Maize",4348,1995,7.26,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Maize",4348,2003,9.76,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Maize",4348,2008,7.4,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Other cereals",4351,2008,8.5,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Vegetables",4360,2008,2.2,"I","",""
"Austria",11,"Harvested irrigated temporary crop area: Soybeans",4371,1995,0.59,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Soybeans",4371,2003,0.32,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Sunflower",4373,1995,1.6,"E","",""
"Austria",11,"Harvested irrigated temporary crop area: Sunflower",4373,2003,1.17,"E","",""
